DAS,D10SP,D20SP,D30SP,D60SP,year,doy,Date,
867,0.30369472,0.311206899,0.34365229,0.383112743,2014,335,01-Dec-2014,
869,0.31143895,0.31423357,0.343416852,0.381787705,2014,337,03-Dec-2014,
871,0.289076194,0.300036766,0.33541618,0.374581486,2014,339,05-Dec-2014,
874,0.27297543,0.283025869,0.31669269,0.364148046,2014,342,08-Dec-2014,
877,0.328210711,0.324420455,0.34824063,0.386063024,2014,345,11-Dec-2014,
880,0.33609366,0.332444621,0.366361353,0.403773592,2014,348,14-Dec-2014,
888,0.327606087,0.326536546,0.359298152,0.395988613,2014,356,22-Dec-2014,
894,0.298993595,0.306381596,0.339912807,0.389241457,2014,362,28-Dec-2014,
903,0.343728859,0.337029714,0.371709711,0.413436955,2015,6,06-Jan-2015,
905,0.324119702,0.32265502,0.353755285,0.398046437,2015,8,08-Jan-2015,
909,0.284678494,0.297420089,0.332647173,0.387527513,2015,12,12-Jan-2015,
913,0.257219285,0.275420234,0.30793625,0.369643361,2015,16,16-Jan-2015,
916,0.242396061,0.264058485,0.295703876,0.353382125,2015,19,19-Jan-2015,
918,0.287408648,0.281990603,0.307934801,0.352734839,2015,21,21-Jan-2015,
924,0.327530757,0.326340868,0.355839967,0.396583331,2015,27,27-Jan-2015,
926,0.33742241,0.333512242,0.359612238,0.39492423,2015,29,29-Jan-2015,
931,0.319606426,0.313760331,0.33515937,0.37678429,2015,34,03-Feb-2015,
934,0.336836498,0.333260187,0.363126165,0.401192449,2015,37,06-Feb-2015,
937,0.32509602,0.322209899,0.349749188,0.392253107,2015,40,09-Feb-2015,
939,0.341252613,0.341530031,0.371597213,0.41318761,2015,42,11-Feb-2015,
940,0.337921062,0.335994005,0.365732853,0.405552587,2015,43,12-Feb-2015,
957,0.336181883,0.329644476,0.360876879,0.400048836,2015,60,01-Mar-2015,
958,0.325025323,0.320650746,0.3520066,0.396123468,2015,61,02-Mar-2015,
966,0.348436227,0.342224787,0.374627781,0.420101422,2015,69,10-Mar-2015,
975,0.348168239,0.342256412,0.370836601,0.420833187,2015,78,19-Mar-2015,
977,0.347980183,0.345826439,0.383745582,0.416402082,2015,80,21-Mar-2015,
979,0.347821082,0.339793886,0.373212282,0.416261856,2015,82,23-Mar-2015,
982,0.336256238,0.332103484,0.365191965,0.407293661,2015,85,26-Mar-2015,
987,0.33912574,0.334237216,0.365161272,0.40383101,2015,90,31-Mar-2015,
995,0.325666266,0.31816272,0.349718332,0.391971901,2015,98,08-Apr-2015,
997,0.313498818,0.311409584,0.339900117,0.383315785,2015,100,10-Apr-2015,
1004,0.292912126,0.295744145,0.329606868,0.379239181,2015,107,17-Apr-2015,
1009,0.279396415,0.287700614,0.323817766,0.372273938,2015,112,22-Apr-2015,
1012,0.277408128,0.285361132,0.318126507,0.369611442,2015,115,25-Apr-2015,
1014,0.267905282,0.279002117,0.314682514,0.364978596,2015,117,27-Apr-2015,
1016,0.265606673,0.277798415,0.30881711,0.363064969,2015,119,29-Apr-2015,
1021,0.287457645,0.293401017,0.312355216,0.367447044,2015,124,04-May-2015,
1024,0.292299454,0.28580768,0.315008816,0.360196823,2015,127,07-May-2015,
1029,0.328452401,0.316238497,0.335414114,0.363880783,2015,132,12-May-2015,
1091,0.317965544,0.316007444,0.349950566,0.38977536,2015,194,13-Jul-2015,
1092,0.308690177,0.311123614,0.346950259,0.387433175,2015,195,14-Jul-2015,
1116,0.256059206,0.283595756,0.331176996,0.372413863,2015,219,07-Aug-2015,
1119,0.228950005,0.267398134,0.314122032,0.361503505,2015,222,10-Aug-2015,
1121,0.332919474,0.335988347,0.375724058,0.407742894,2015,224,12-Aug-2015,
1124,0.29691722,0.308433937,0.34681256,0.387909541,2015,227,15-Aug-2015,
1126,0.279005824,0.298047548,0.339324668,0.380076846,2015,229,17-Aug-2015,
1128,0.266815728,0.2913965,0.333676499,0.376582219,2015,231,19-Aug-2015,
1130,0.249137618,0.281505386,0.332351465,0.367920009,2015,233,21-Aug-2015,
1133,0.241979788,0.274982147,0.320389756,0.367048357,2015,236,24-Aug-2015,
1135,0.307288135,0.306393433,0.337005241,0.371610961,2015,238,26-Aug-2015,
1137,0.323120943,0.32713265,0.364664889,0.397358226,2015,240,28-Aug-2015,
1140,0.295124333,0.304341225,0.343317871,0.384187144,2015,243,31-Aug-2015,
1142,0.280926815,0.298419676,0.337994136,0.379120985,2015,245,02-Sep-2015,
1144,0.27105589,0.292341921,0.330599207,0.374071315,2015,247,04-Sep-2015,
1150,0.328316574,0.333608315,0.382195656,0.42018594,2015,253,10-Sep-2015,
1153,0.331839555,0.337975046,0.382136396,0.418590616,2015,256,13-Sep-2015,
1154,0.321176534,0.325145194,0.364067001,0.408014894,2015,257,14-Sep-2015,
1156,0.309781404,0.317467978,0.354027208,0.395833456,2015,259,16-Sep-2015,
1158,0.291887264,0.30661434,0.344317534,0.387152134,2015,261,18-Sep-2015,
1161,0.263398047,0.286073715,0.325633438,0.376419327,2015,264,21-Sep-2015,
1163,0.243159837,0.271355919,0.313210389,0.368225376,2015,266,23-Sep-2015,
1165,0.218472978,0.25143883,0.292535854,0.358137038,2015,268,25-Sep-2015,
1167,0.306427754,0.303192045,0.32426372,0.366401929,2015,270,27-Sep-2015,
1169,0.316466281,0.316824621,0.355264809,0.395113633,2015,272,29-Sep-2015,
1170,0.345110902,0.344272341,0.386279258,0.424687857,2015,273,30-Sep-2015,
1172,0.320501807,0.319509242,0.356815573,0.399373912,2015,275,02-Oct-2015,
1176,0.291047056,0.297754653,0.334891126,0.381528194,2015,279,06-Oct-2015,
1179,0.256193664,0.2706245,0.31044138,0.368659245,2015,282,09-Oct-2015,
1183,0.282885759,0.28021019,0.314019387,0.366518446,2015,286,13-Oct-2015,
1184,0.271763001,0.27356458,0.309200102,0.367021087,2015,287,14-Oct-2015,
1186,0.239547822,0.25502875,0.299190245,0.350924006,2015,289,16-Oct-2015,
1189,0.200195199,0.222024343,0.264459879,0.337967351,2015,292,19-Oct-2015,
1193,0.247247502,0.224586873,0.251178962,0.322498776,2015,296,23-Oct-2015,
1196,0.209407704,0.206482587,0.241914898,0.31882538,2015,299,26-Oct-2015,
1199,0.269108604,0.25525619,0.278237876,0.334371275,2015,302,29-Oct-2015,
1204,0.327982504,0.301632899,0.310615366,0.339228057,2015,307,03-Nov-2015,
1205,0.331048639,0.324813888,0.343189575,0.363070592,2015,308,04-Nov-2015,
1207,0.32639008,0.321679374,0.357374115,0.403483474,2015,310,06-Nov-2015,
1210,0.31259454,0.30785177,0.343837166,0.387527154,2015,313,09-Nov-2015,
1212,0.292617604,0.296538391,0.331235145,0.380194623,2015,315,11-Nov-2015,
1214,0.258117397,0.270702536,0.30844522,0.367044549,2015,317,13-Nov-2015,
1217,0.31509275,0.311092028,0.339650252,0.379532093,2015,320,16-Nov-2015,
1219,0.333920505,0.329518083,0.360541103,0.39505501,2015,322,18-Nov-2015,
1225,0.3514086,0.349947501,0.402962496,0.432411598,2015,328,24-Nov-2015,
1226,0.349114075,0.344339593,0.382730575,0.426577656,2015,329,25-Nov-2015,
1228,0.322223941,0.32183635,0.354471647,0.401008877,2015,331,27-Nov-2015,
1231,0.35093841,0.347832758,0.388513586,0.432761641,2015,334,30-Nov-2015,
1234,0.31637435,0.316988743,0.350798558,0.394799861,2015,337,03-Dec-2015,
1235,0.30726875,0.307143038,0.342408366,0.388424543,2015,338,04-Dec-2015,
1239,0.323104198,0.31996148,0.353104365,0.393722,2015,342,08-Dec-2015,
1241,0.346330127,0.338664495,0.371569305,0.405410792,2015,344,10-Dec-2015,
1242,0.336499403,0.33045076,0.365609486,0.402669185,2015,345,11-Dec-2015,
1246,0.329338089,0.323584169,0.35555986,0.394542321,2015,349,15-Dec-2015,
1248,0.332277174,0.326729723,0.358481631,0.395764666,2015,351,17-Dec-2015,
